Year_Solar_Cons,Values_Solar_Cons,Countries
01/01/1968,0,China Hong Kong SAR
01/01/1968,0,India
01/01/1968,0,Indonesia
01/01/1968,0,Japan
01/01/1968,0,Malaysia
01/01/1968,0,New Zealand
01/01/1968,0,Pakistan
01/01/1968,0,Philippines
01/01/1968,0,Singapore
01/01/1968,0,South Korea
01/01/1968,0,Sri Lanka
01/01/1968,0,Taiwan
01/01/1968,0,Thailand
01/01/1968,0,Vietnam
01/01/1969,0,Canada
01/01/1969,0,Mexico
01/01/1969,0,US
01/01/1969,0,Argentina
01/01/1969,0,Brazil
01/01/1969,0,Chile
01/01/1969,0,Colombia
01/01/1969,0,Ecuador
01/01/1969,0,Peru
01/01/1969,0,Trinidad & Tobago
01/01/1969,0,Venezuela
01/01/1969,0,Austria
01/01/1969,0,Belgium
01/01/1969,0,Bulgaria
01/01/1969,,Croatia
01/01/1969,0,Cyprus
01/01/1969,0,Czech Republic
01/01/1969,0,Denmark
01/01/1969,,Estonia
01/01/1969,0,Finland
01/01/1969,0,France
01/01/1969,0,Germany
01/01/1969,0,Greece
01/01/1969,0,Hungary
01/01/1969,0,Iceland
01/01/1969,0,Ireland
01/01/1969,0,Italy
01/01/1969,,Latvia
01/01/1969,,Lithuania
01/01/1969,0,Luxembourg
01/01/1969,0,Netherlands
01/01/1969,,North Macedonia
01/01/1969,0,Norway
01/01/1969,0,Poland
01/01/1969,0,Portugal
01/01/1969,0,Romania
01/01/1969,0,Slovakia
01/01/1969,,Slovenia
01/01/1969,0,Spain
01/01/1969,0,Sweden
01/01/1969,0,Switzerland
01/01/1969,0,Turkey
01/01/1969,0,Ukraine
01/01/1969,0,United Kingdom
01/01/1969,,Azerbaijan
01/01/1969,,Belarus
01/01/1969,,Kazakhstan
01/01/1969,,Russian Federation
01/01/1969,,Turkmenistan
01/01/1969,0,USSR
01/01/1969,,Uzbekistan
01/01/1969,0,Iran
01/01/1969,0,Iraq
01/01/1969,0,Israel
01/01/1969,0,Kuwait
01/01/1969,0,Oman
01/01/1969,0,Qatar
01/01/1969,0,Saudi Arabia
01/01/1969,0,United Arab Emirates
01/01/1969,0,Algeria
01/01/1969,0,Egypt
01/01/1969,0,Morocco
01/01/1969,0,South Africa
01/01/1969,0,Eastern Africa
01/01/1969,0,Australia
01/01/1969,0,Bangladesh
01/01/1969,0,China
01/01/1969,0,China Hong Kong SAR
01/01/1969,0,India
01/01/1969,0,Indonesia
01/01/1969,0,Japan
01/01/1969,0,Malaysia
01/01/1969,0,New Zealand
01/01/1969,0,Pakistan
01/01/1969,0,Philippines
01/01/1969,0,Singapore
01/01/1969,0,South Korea
01/01/1969,0,Sri Lanka
01/01/1969,0,Taiwan
01/01/1969,0,Thailand
01/01/1969,0,Vietnam
01/01/1970,0,Canada
01/01/1970,0,Mexico
01/01/1970,0,US
01/01/1970,0,Argentina
01/01/1970,0,Brazil
01/01/1970,0,Chile
01/01/1970,0,Colombia
01/01/1970,0,Ecuador
01/01/1970,0,Peru
01/01/1970,0,Trinidad & Tobago
01/01/1970,0,Venezuela
01/01/1970,0,Austria
01/01/1970,0,Belgium
01/01/1970,0,Bulgaria
01/01/1970,,Croatia
01/01/1970,0,Cyprus
01/01/1970,0,Czech Republic
01/01/1970,0,Denmark
01/01/1970,,Estonia
01/01/1970,0,Finland
01/01/1970,0,France
01/01/1970,0,Germany
01/01/1970,0,Greece
01/01/1970,0,Hungary
01/01/1970,0,Iceland
01/01/1970,0,Ireland
01/01/1970,0,Italy
01/01/1970,,Latvia
01/01/1970,,Lithuania
01/01/1970,0,Luxembourg
01/01/1970,0,Netherlands
01/01/1970,,North Macedonia
01/01/1970,0,Norway
01/01/1970,0,Poland
01/01/1970,0,Portugal
01/01/1970,0,Romania
01/01/1970,0,Slovakia
01/01/1970,,Slovenia
01/01/1970,0,Spain
01/01/1970,0,Sweden
01/01/1970,0,Switzerland
01/01/1970,0,Turkey
01/01/1970,0,Ukraine
01/01/1970,0,United Kingdom
01/01/1970,,Azerbaijan
01/01/1970,,Belarus
01/01/1970,,Kazakhstan
01/01/1970,,Russian Federation
01/01/1970,,Turkmenistan
01/01/1970,0,USSR
01/01/1970,,Uzbekistan
01/01/1970,0,Iran
01/01/1970,0,Iraq
